gene_name,snp_count,best_pvalue,max_risk_score,max_combined_score,min_distance,gene_id,gene_rank,ensembl_id,biotype,description,uniprot_ids,omim_ids,hgnc_id,entrez_id
SEC16B,128,7.385e-12,0.1415983014910285,0.3248801883315155,3611,ENSG00000120341,451,,,,,,,
PPARG,708,3.3458e-19,0.141401527495366,0.3245164882167858,0,ENSG00000132170,452,,,,,,,
MLX,45,8.59429e-10,0.1412655228488649,0.3243649028927788,122,ENSG00000108788,453,,,,,,,
NAGLU,30,8.59429e-10,0.1412655228488649,0.3243649028927788,14124,ENSG00000108784,454,,,,,,,
TUBG1,12,8.59429e-10,0.1412655228488649,0.3243649028927788,20681,ENSG00000131462,455,,,,,,,
HSD17B1,24,8.59429e-10,0.1412655228488649,0.3243649028927788,3360,ENSG00000108786,456,,,,,,,
COASY,60,8.59429e-10,0.1412655228488649,0.3243649028927788,2108,ENSG00000068120,457,,,,,,,
PSMC3IP,30,8.59429e-10,0.1412655228488649,0.3243649028927788,0,ENSG00000131470,458,,,,,,,
FAM134C,55,8.59429e-10,0.1412655228488649,0.3243649028927788,0,ENSG00000141699,459,,,,,,,
DLEU1,252,5.04894e-15,0.1408222228670879,0.3237296366836463,0,ENSG00000176124,460,,,,,,,
COBLL1,1496,2.1059999999999998e-22,0.1393557601655491,0.3235768275302986,0,ENSG00000082438,461,,,,,,,
C10orf115,8,1.567e-08,0.1405313620070628,0.323425517348449,0,ENSG00000204566,462,,,,,,,
PTF1A,7,1.567e-08,0.1405313620070628,0.323425517348449,4597,ENSG00000168267,463,,,,,,,
GNPDA2,14,6.18443e-22,0.1400902026555852,0.3230830975325668,437038,ENSG00000163281,464,,,,,,,
MAU2,136,3.0507e-12,0.1400307377298008,0.3230166007272979,0,ENSG00000129933,465,,,,,,,
SUGP1,54,3.0507e-12,0.1400307377298008,0.3230166007272979,0,ENSG00000105705,466,,,,,,,
GATAD2A,196,3.0507e-12,0.1400307377298008,0.3230166007272979,0,ENSG00000167491,467,,,,,,,
NCR3LG1,30,2.55388e-19,0.1393352606873405,0.3224461157875196,0,ENSG00000188211,468,,,,,,,
ABCC8,266,2.55388e-19,0.1393352606873405,0.3224461157875196,0,ENSG00000006071,469,,,,,,,
NUCB2,208,2.55388e-19,0.1393352606873405,0.3224461157875196,0,ENSG00000070081,470,,,,,,,
KCNJ11,70,2.55388e-19,0.1393352606873405,0.3224461157875196,0,ENSG00000187486,471,,,,,,,
ZNF100,5,9.687999999999999e-23,0.1381111888825871,0.3222421724559391,48822,ENSG00000197020,472,,,,,,,
FGFR1,35,4.109e-08,0.1394313848603334,0.3221712528528921,16660,ENSG00000077782,473,,,,,,,
C8orf86,2,4.109e-08,0.1394313848603334,0.3221712528528921,25340,ENSG00000196166,474,,,,,,,
INS-IGF2,48,1.034e-16,0.1386084743001561,0.3221614433495152,0,ENSG00000129965,475,,,,,,,
IGF2,128,1.034e-16,0.1386084743001561,0.3221614433495152,10227,ENSG00000167244,476,,,,,,,
INS,80,1.034e-16,0.1386084743001561,0.3221614433495152,0,ENSG00000254647,477,,,,,,,
TH,112,1.034e-16,0.1386084743001561,0.3221614433495152,311,ENSG00000180176,478,,,,,,,
BBIP1,56,1.369e-11,0.1382837899942233,0.3212382318660434,0,ENSG00000214413,479,,,,,,,
RBM20,20,2.084e-11,0.1382837899942233,0.3212382318660434,21677,ENSG00000203867,480,,,,,,,
PDCD4,77,1.369e-11,0.1382837899942233,0.3212382318660434,0,ENSG00000150593,481,,,,,,,
ARHGDIG,162,1.35407e-10,0.1384115883579423,0.3212203058131545,1333,ENSG00000242173,482,,,,,,,
ITFG3,503,1.35407e-10,0.1384115883579423,0.3212203058131545,0,ENSG00000167930,483,,,,,,,
PDIA2,182,1.35407e-10,0.1384115883579423,0.3212203058131545,15759,ENSG00000185615,484,,,,,,,
RGS11,270,1.35407e-10,0.1384115883579423,0.3212203058131545,907,ENSG00000076344,485,,,,,,,
AXIN1,130,1.35407e-10,0.1384115883579423,0.3212203058131545,20047,ENSG00000103126,486,,,,,,,
LUC7L,532,1.35407e-10,0.1384115883579423,0.3212203058131545,0,ENSG00000007392,487,,,,,,,
EIF5A2,92,4.854e-12,0.1382467500544614,0.3212146195895357,1427,ENSG00000163577,488,,,,,,,
SLC2A2,320,3.45382e-12,0.1382467500544614,0.3212146195895357,0,ENSG00000163581,489,,,,,,,
KPNA2,202,2.76198e-10,0.1382110254328171,0.3210544522754987,0,ENSG00000182481,490,,,,,,,
SSBP3-AS1,4,6.608e-09,0.1379772313599467,0.3206534830040217,3003,ENSG00000198711,491,,,,,,,
CYB5RL,44,6.608e-09,0.1379772313599467,0.3206534830040217,32402,ENSG00000215883,492,,,,,,,
RP11-446E24.4,8,6.608e-09,0.1379772313599467,0.3206534830040217,32365,ENSG00000256407,493,,,,,,,
SSBP3,60,6.608e-09,0.1379772313599467,0.3206534830040217,0,ENSG00000157216,494,,,,,,,
MRPL37,24,6.608e-09,0.1379772313599467,0.3206534830040217,6974,ENSG00000116221,495,,,,,,,
VRK2,60,6.99246e-10,0.1376111400186162,0.3203521835789554,0,ENSG00000028116,496,,,,,,,
ZNF738,5,2.415e-13,0.1370413371583963,0.3200857051768953,12156,ENSG00000172687,497,,,,,,,
ZNF708,32,2.415e-13,0.1370413371583963,0.3200857051768953,13836,ENSG00000182141,498,,,,,,,
NR4A3,1,4.119e-08,0.1369991407303729,0.3194941894840448,190019,ENSG00000119508,499,,,,,,,
RFC5,99,1.686e-15,0.1351631081341646,0.3182067816612919,36467,ENSG00000111445,500,,,,,,,
KSR2,85,1.536e-15,0.1351631081341646,0.3182067816612919,0,ENSG00000171435,501,,,,,,,
KLF14,73,4.72716e-14,0.1352891702085354,0.3179899769641593,6005,ENSG00000174595,502,,,,,,,
FBXW7,806,1.54e-15,0.1347904291149561,0.3171822243857395,0,ENSG00000109670,503,,,,,,,
PEPD,338,2.289e-16,0.1344450220033146,0.3167674567256754,0,ENSG00000124299,504,,,,,,,
CEBPG,48,2.289e-16,0.1344450220033146,0.3167674567256754,13121,ENSG00000153879,505,,,,,,,
NKX6-1,161,1.445e-14,0.1342139962837276,0.316714749639566,0,ENSG00000163623,506,,,,,,,
P2RY1,26,1.406e-09,0.1343103467614606,0.3166838376372584,165013,ENSG00000169860,507,,,,,,,
C1orf185,25,9.792e-12,0.1340995714761113,0.3166804450774217,36068,ENSG00000204006,508,,,,,,,
PITPNC1,21,1.673e-08,0.1329488366895037,0.3150771488807551,0,ENSG00000154217,509,,,,,,,
ANGEL1,12,3.385e-09,0.1320148049447016,0.3140541428943662,27996,ENSG00000013523,510,,,,,,,
C14orf166B,200,8.406e-11,0.1320148049447016,0.3140541428943662,0,ENSG00000100565,511,,,,,,,
CCDC12,13,1.686e-08,0.131428456287994,0.313403452046483,37677,ENSG00000160799,512,,,,,,,
PRSS42,2,1.686e-08,0.131428456287994,0.313403452046483,49954,ENSG00000178055,513,,,,,,,
PTH1R,7,1.686e-08,0.131428456287994,0.313403452046483,0,ENSG00000160801,514,,,,,,,
MYL3,3,1.686e-08,0.131428456287994,0.313403452046483,1880,ENSG00000160808,515,,,,,,,
AC109583.1,1,1.686e-08,0.131428456287994,0.313403452046483,2160,ENSG00000268537,516,,,,,,,
USP3,684,2.577e-10,0.1305839841166738,0.3126525358773557,0,ENSG00000140455,517,,,,,,,
MUC21,21,2.886e-15,0.1304456550793592,0.3123773762633226,0,ENSG00000204544,518,,,,,,,
MUC22,59,1.084e-17,0.1304456550793592,0.3123773762633226,0,ENSG00000261272,519,,,,,,,
JPH1,39,5.68e-10,0.1301784517108006,0.3120490680284218,0,ENSG00000104369,520,,,,,,,
COL13A1,107,9.65828e-11,0.1299453975251024,0.3120047565392803,0,ENSG00000197467,521,,,,,,,
CRABP1,9,3.42878e-08,0.1301210921876218,0.3119324355768292,0,ENSG00000166426,522,,,,,,,
WDR61,48,3.42878e-08,0.1301210921876218,0.3119324355768292,0,ENSG00000140395,523,,,,,,,
BEND3,28,7.52731e-10,0.1299161684022716,0.3118772224515909,0,ENSG00000178409,524,,,,,,,
C6orf203,3,7.94786e-10,0.1299161684022716,0.3118772224515909,49693,ENSG00000130349,525,,,,,,,
SMARCC1,16,6.07729e-10,0.1297718943641486,0.3117305744779933,0,ENSG00000173473,526,,,,,,,
CSPG5,3,6.07729e-10,0.1297718943641486,0.3117305744779933,44428,ENSG00000114646,527,,,,,,,
CTD-2370N5.3,219,3.793e-11,0.1295406543678406,0.3115397440510731,0,ENSG00000265118,528,,,,,,,
EVI2A,207,3.793e-11,0.1295406543678406,0.3115397440510731,0,ENSG00000126860,529,,,,,,,
NF1,3914,3.793e-11,0.1295406543678406,0.3115397440510731,0,ENSG00000196712,530,,,,,,,
EVI2B,213,3.793e-11,0.1295406543678406,0.3115397440510731,0,ENSG00000185862,531,,,,,,,
OMG,280,3.793e-11,0.1295406543678406,0.3115397440510731,0,ENSG00000126861,532,,,,,,,
CENPW,110,3.842e-12,0.1296433614687726,0.3113996681556792,166,ENSG00000203760,533,,,,,,,
MC4R,69,2.732e-26,0.1289087174869774,0.3108189343562603,126338,ENSG00000166603,534,,,,,,,
FGF9,22,3.333e-09,0.1281025058982932,0.3097154654645505,290859,ENSG00000102678,535,,,,,,,
ITGA1,3,1.076e-08,0.1276569039207678,0.3092727624312843,285101,ENSG00000213949,536,,,,,,,
ANKS6,28,7.31863e-09,0.127634283274022,0.3092653043660749,0,ENSG00000165138,537,,,,,,,
GALNT12,4,7.31863e-09,0.127634283274022,0.3092653043660749,8391,ENSG00000119514,538,,,,,,,
RSRC2,19,5.23383e-09,0.127527017918424,0.3091624171372665,10843,ENSG00000111011,539,,,,,,,
KNTC1,14,5.23383e-09,0.127527017918424,0.3091624171372665,0,ENSG00000184445,540,,,,,,,
ZCCHC8,10,5.23383e-09,0.127527017918424,0.3091624171372665,36872,ENSG00000033030,541,,,,,,,
DEGS1,5,1.69594e-08,0.1266495104616567,0.3081434281994051,0,ENSG00000143753,542,,,,,,,
NVL,21,1.69594e-08,0.1266495104616567,0.3081434281994051,37647,ENSG00000143748,543,,,,,,,
FBXO28,5,1.69594e-08,0.1266495104616567,0.3081434281994051,27640,ENSG00000143756,544,,,,,,,
CTNNA3,455,4.60151e-12,0.1260200147929863,0.3075827624777635,0,ENSG00000183230,545,,,,,,,
MAP6,12,8.39769e-09,0.1259629374655479,0.3074195807756165,0,ENSG00000171533,546,,,,,,,
HMGCS2,16,1.36707e-10,0.1257708704562065,0.3072203740085042,28467,ENSG00000134240,547,,,,,,,
PHGDH,49,6.4152e-09,0.1257708704562065,0.3072203740085042,0,ENSG00000092621,548,,,,,,,
PLEKHA1,288,1.8e-12,0.1248622563095959,0.3064975840213763,0,ENSG00000107679,549,,,,,,,
ARMS2,16,1.8e-12,0.1248622563095959,0.3064975840213763,15584,ENSG00000254636,550,,,,,,,
HNRNPH3,24,1.3508e-10,0.1244932198008351,0.3059888539850841,29228,ENSG00000096746,551,,,,,,,
ZNF800,22,4.0869999999999994e-53,0.1202828592960053,0.3057846753739788,0,ENSG00000048405,552,,,,,,,
EYA2,176,2.04174e-11,0.1241990127936479,0.3056186424794255,0,ENSG00000064655,553,,,,,,,
PBLD,14,1.36446e-10,0.1241417440971304,0.3056015608853394,27265,ENSG00000108187,554,,,,,,,
MOB1B,265,4.643e-16,0.1236944276830359,0.3055556895218195,0,ENSG00000173542,555,,,,,,,
ZFP36L2,27,2.00909e-16,0.1238597713060565,0.30542989294985,0,ENSG00000152518,556,,,,,,,
RNASEK-C17orf49,60,8.986e-24,0.1218692934395231,0.3044139241089189,19554,ENSG00000161939,557,,,,,,,
RNASEK,120,8.986e-24,0.1218692934395231,0.3044139241089189,22542,ENSG00000219200,558,,,,,,,
BCL6B,90,8.986e-24,0.1218692934395231,0.3044139241089189,6784,ENSG00000161940,559,,,,,,,
C17orf49,135,8.986e-24,0.1218692934395231,0.3044139241089189,19549,ENSG00000258315,560,,,,,,,
ALOX12,45,8.986e-24,0.1218692934395231,0.3044139241089189,26338,ENSG00000108839,561,,,,,,,
SLC16A13,30,8.986e-24,0.1218692934395231,0.3044139241089189,0,ENSG00000174327,562,,,,,,,
SLC16A11,45,8.986e-24,0.1218692934395231,0.3044139241089189,0,ENSG00000174326,563,,,,,,,
AC040977.1,15,8.986e-24,0.1218692934395231,0.3044139241089189,22638,ENSG00000269871,564,,,,,,,
CLEC10A,90,8.986e-24,0.1218692934395231,0.3044139241089189,24075,ENSG00000132514,565,,,,,,,
AC027763.2,90,8.986e-24,0.1218692934395231,0.3044139241089189,24725,ENSG00000215067,566,,,,,,,
ADAMTS9,202,3.052e-13,0.1230540669130471,0.3041471508230871,25769,ENSG00000163638,567,,,,,,,
INSR,385,7.98914e-11,0.1225102817673984,0.3036960545777121,0,ENSG00000171105,568,,,,,,,
ZNF251,4,1.618e-08,0.1223159858225903,0.3033760342206981,21765,ENSG00000198169,569,,,,,,,
ZNF517,6,1.618e-08,0.1223159858225903,0.3033760342206981,20694,ENSG00000197363,570,,,,,,,
RPL8,14,1.618e-08,0.1223159858225903,0.3033760342206981,11583,ENSG00000161016,571,,,,,,,
ZNF7,13,1.618e-08,0.1223159858225903,0.3033760342206981,49282,ENSG00000147789,572,,,,,,,
ZNF34,5,1.618e-08,0.1223159858225903,0.3033760342206981,0,ENSG00000196378,573,,,,,,,
IPP,156,2.211e-11,0.1221281741706327,0.3032107925744084,23669,ENSG00000197429,574,,,,,,,
MAST2,3159,2.211e-11,0.1221281741706327,0.3032107925744084,0,ENSG00000086015,575,,,,,,,
ZNF682,39,5.41938e-09,0.121948615077206,0.303021192197231,0,ENSG00000197124,576,,,,,,,
ZNF90,10,5.41938e-09,0.121948615077206,0.303021192197231,0,ENSG00000213988,577,,,,,,,
NRXN3,154,8.66363e-13,0.1214431939186356,0.3025698985690732,0,ENSG00000021645,578,,,,,,,
ZNF257,18,3.028e-22,0.120755562430363,0.3016221798525937,0,ENSG00000197134,579,,,,,,,
SRSF6,10,4.98196e-21,0.1194984181950003,0.301463374913079,0,ENSG00000124193,580,,,,,,,
L3MBTL1,68,2.0663300000000003e-24,0.1194984181950003,0.301463374913079,2317,ENSG00000185513,581,,,,,,,
SH2B3,3,2.07e-11,0.1203026878805147,0.3014615804795138,6981,ENSG00000111252,582,,,,,,,
CUX2,6,2.07e-11,0.1203026878805147,0.3014615804795138,0,ENSG00000111249,583,,,,,,,
FAM109A,5,2.07e-11,0.1203026878805147,0.3014615804795138,29846,ENSG00000198324,584,,,,,,,
SNX29,16,1.20781e-08,0.1205551541865599,0.3014512736446033,0,ENSG00000048471,585,,,,,,,
RP11-276H1.3,2,1.20781e-08,0.1205551541865599,0.3014512736446033,970,ENSG00000175604,586,,,,,,,
FAF1,1842,1.052e-14,0.1197048070822008,0.3006373658686269,0,ENSG00000185104,587,,,,,,,
BCAR1,500,1.09648e-14,0.118685194310892,0.299454539956785,0,ENSG00000050820,588,,,,,,,
CTRB1,52,1.09648e-14,0.118685194310892,0.299454539956785,78,ENSG00000168925,589,,,,,,,
CTRB2,156,1.09648e-14,0.118685194310892,0.299454539956785,0,ENSG00000168928,590,,,,,,,
NSD1,1950,1.51e-12,0.1182005165816041,0.2992663644114183,0,ENSG00000165671,591,,,,,,,
BAK1,87,3.62326e-16,0.1182515580661335,0.2989596091619241,0,ENSG00000030110,592,,,,,,,
GGNBP1,36,3.62326e-16,0.1182515580661335,0.2989596091619241,0,ENSG00000204188,593,,,,,,,
ITPR3,72,3.62326e-16,0.1182515580661335,0.2989596091619241,0,ENSG00000096433,594,,,,,,,
SHOC2,14,1.369e-11,0.1174789835799225,0.2983724897925012,644,ENSG00000108061,595,,,,,,,
UBE3C,344,3.31284e-14,0.1167022947125699,0.2974985823294658,0,ENSG00000009335,596,,,,,,,
FGFR2,14,5.05e-11,0.116633199076689,0.2970920070285482,235909,ENSG00000066468,597,,,,,,,
RP11-10A14.4,15,3.28882e-10,0.116012214880703,0.2964659500512869,128748,ENSG00000253426,598,,,,,,,
DMRTA1,71,6.071e-15,0.1155815347502375,0.2961456338236317,116225,ENSG00000176399,599,,,,,,,
CDC25A,4,1.16201e-08,0.1157231387451659,0.2961348559013224,0,ENSG00000164045,600,,,,,,,
CAMP,2,1.16201e-08,0.1157231387451659,0.2961348559013224,39328,ENSG00000164047,601,,,,,,,
HLA-DQB2,4292,7.296249999999999e-37,0.1153536861335453,0.2959871498460495,0,ENSG00000232629,602,,,,,,,
HLA-DQA2,1262,7.296249999999999e-37,0.1153536861335453,0.2959871498460495,0,ENSG00000237541,603,,,,,,,
AC006967.1,6,5.10505e-14,0.1152485107341468,0.2955982240556218,28330,ENSG00000269446,604,,,,,,,
SUPV3L1,21,1.27028e-13,0.11445668470366,0.2952578688970936,12698,ENSG00000156502,605,,,,,,,
SRGN,2,1.27028e-13,0.11445668470366,0.2952578688970936,34190,ENSG00000122862,606,,,,,,,
VPS26A,20,1.27028e-13,0.11445668470366,0.2952578688970936,0,ENSG00000122958,607,,,,,,,
ZNF93,6,5.8603e-09,0.1148971317306616,0.2952567165707802,0,ENSG00000184635,608,,,,,,,
ZNF253,4,5.8603e-09,0.1148971317306616,0.2952567165707802,6899,ENSG00000256771,609,,,,,,,
AC007204.1,1,5.8603e-09,0.1148971317306616,0.2952567165707802,35387,ENSG00000268461,610,,,,,,,
UQCR10,6,5.206e-11,0.1146272039581678,0.2951733544491354,4253,ENSG00000184076,611,,,,,,,
ZMAT5,9,5.206e-11,0.1146272039581678,0.2951733544491354,7655,ENSG00000100319,612,,,,,,,
ASCC2,136,5.206e-11,0.1146272039581678,0.2951733544491354,0,ENSG00000100325,613,,,,,,,
PDZRN4,12,2.64612e-09,0.1147297296962386,0.2951084476978083,0,ENSG00000165966,614,,,,,,,
ACTA1,4,2.335e-09,0.1144825719444814,0.2948420827970549,1260,ENSG00000143632,615,,,,,,,
GLP2R,124,1.56722e-08,0.1142558100852309,0.2944763613607329,0,ENSG00000065325,616,,,,,,,
RCVRN,62,1.56722e-08,0.1142558100852309,0.2944763613607329,6765,ENSG00000109047,617,,,,,,,
GAS7,527,1.56722e-08,0.1142558100852309,0.2944763613607329,21054,ENSG00000007237,618,,,,,,,
NDST2,6,2.375e-08,0.1135741371235068,0.2937372980978441,22461,ENSG00000166507,619,,,,,,,
RP11-574K11.31,2,2.375e-08,0.1135741371235068,0.2937372980978441,22641,ENSG00000272916,620,,,,,,,
ZSWIM8,22,2.375e-08,0.1135741371235068,0.2937372980978441,32499,ENSG00000214655,621,,,,,,,
CAMK2G,13,2.375e-08,0.1135741371235068,0.2937372980978441,0,ENSG00000148660,622,,,,,,,
DNAJC2,165,4.87641e-13,0.1129648320021718,0.2935550562235492,0,ENSG00000105821,623,,,,,,,
PSMC2,78,4.87641e-13,0.1129648320021718,0.2935550562235492,0,ENSG00000161057,624,,,,,,,
SLC26A5,80,4.87641e-13,0.1129648320021718,0.2935550562235492,0,ENSG00000170615,625,,,,,,,
C9orf53,12,2.9403600000000004e-18,0.1118959706041904,0.2928550758040102,6480,ENSG00000224854,626,,,,,,,
CDKN2A,368,7.72859e-19,0.1118959706041904,0.2928550758040102,0,ENSG00000147889,627,,,,,,,
PDE2A,208,8.947e-21,0.1123902833946186,0.2927443506038999,33879,ENSG00000186642,628,,,,,,,
NKX1-1,9,2.11e-31,0.1103130778330398,0.2925497105511198,5736,ENSG00000235608,629,,,,,,,
CRIPAK,9,2.11e-31,0.1103130778330398,0.2925497105511198,1204,ENSG00000179979,630,,,,,,,
UVSSA,480,2.11e-31,0.1103130778330398,0.2925497105511198,0,ENSG00000163945,631,,,,,,,
UBD,7,1.83569e-13,0.1120912901059422,0.2921027777032131,727,ENSG00000213886,632,,,,,,,
OR2H2,8,1.83569e-13,0.1120912901059422,0.2921027777032131,9144,ENSG00000204657,633,,,,,,,
GABBR1,152,1.83569e-13,0.1120912901059422,0.2921027777032131,0,ENSG00000204681,634,,,,,,,
BAZ1B,30,6.07715e-09,0.1115745714417136,0.2915492815060339,14776,ENSG00000009954,635,,,,,,,
FZD9,1,1.79271e-08,0.1115745714417136,0.2915492815060339,8157,ENSG00000188763,636,,,,,,,
MYO16,15,5.6e-09,0.1110844099496235,0.2909758123801003,80508,ENSG00000041515,637,,,,,,,
ALKBH4,15,2.45301e-17,0.1098592862866471,0.2905822352006549,0,ENSG00000160993,638,,,,,,,
POLR2J,10,2.45301e-17,0.1098592862866471,0.2905822352006549,14546,ENSG00000005075,639,,,,,,,
LRWD1,40,2.45301e-17,0.1098592862866471,0.2905822352006549,6357,ENSG00000161036,640,,,,,,,
ORAI2,35,2.45301e-17,0.1098592862866471,0.2905822352006549,0,ENSG00000160991,641,,,,,,,
RASA4B,24,2.45301e-17,0.1098592862866471,0.2905822352006549,23873,ENSG00000170667,642,,,,,,,
UNC5C,60,9.58517e-11,0.1086370119318032,0.288552867772225,0,ENSG00000182168,643,,,,,,,
TAPBP,8,6.95264e-10,0.1086607760574962,0.288489367904606,36656,ENSG00000231925,644,,,,,,,
DAXX,12,6.95264e-10,0.1086607760574962,0.288489367904606,21774,ENSG00000204209,645,,,,,,,
ZBTB22,3,6.95264e-10,0.1086607760574962,0.288489367904606,33101,ENSG00000236104,646,,,,,,,
TNFSF12-TNFSF13,18,7.34345e-13,0.1078525393899152,0.2879062328019726,338,ENSG00000248871,647,,,,,,,
TNFSF12,90,7.34345e-13,0.1078525393899152,0.2879062328019726,130,ENSG00000239697,648,,,,,,,
CD68,72,7.34345e-13,0.1078525393899152,0.2879062328019726,0,ENSG00000129226,649,,,,,,,
POLR2A,81,7.34345e-13,0.1078525393899152,0.2879062328019726,20850,ENSG00000181222,650,,,,,,,
MPDU1,342,7.34345e-13,0.1078525393899152,0.2879062328019726,2932,ENSG00000129255,651,,,,,,,
EIF4A1,396,7.34345e-13,0.1078525393899152,0.2879062328019726,0,ENSG00000161960,652,,,,,,,
TNFSF13,144,7.34345e-13,0.1078525393899152,0.2879062328019726,2536,ENSG00000161955,653,,,,,,,
SENP3,180,7.34345e-13,0.1078525393899152,0.2879062328019726,0,ENSG00000161956,654,,,,,,,
ARID5B,16,2.522e-09,0.1077951169881079,0.2874372734330032,0,ENSG00000150347,655,,,,,,,
LRRTM3,141,6.32557e-12,0.1067393296005649,0.2865070363045103,0,ENSG00000198739,656,,,,,,,
HAPLN4,10,1.50973e-12,0.1065057259035585,0.2863477264705958,0,ENSG00000187664,657,,,,,,,
NCAN,25,1.50973e-12,0.1065057259035585,0.2863477264705958,0,ENSG00000130287,658,,,,,,,
TM6SF2,20,3.51641e-12,0.1065057259035585,0.2863477264705958,0,ENSG00000213996,659,,,,,,,
CLDN23,5,1.76189e-09,0.1059258138473027,0.2854371675895454,11331,ENSG00000253958,660,,,,,,,
TRIB1,36,3.333e-09,0.1060115915184161,0.2853945616083996,20627,ENSG00000173334,661,,,,,,,
TMEM161A,12,2.10039e-10,0.1053967715447014,0.2849511299771609,3457,ENSG00000064545,662,,,,,,,
MEF2BNB-MEF2B,18,1.50973e-12,0.1053967715447014,0.2849511299771609,3597,ENSG00000064489,663,,,,,,,
MEF2BNB,24,1.50973e-12,0.1053967715447014,0.2849511299771609,17425,ENSG00000254901,664,,,,,,,
SLC25A42,6,2.10039e-10,0.1053967715447014,0.2849511299771609,29082,ENSG00000181035,665,,,,,,,
MEF2B,18,1.50973e-12,0.1053967715447014,0.2849511299771609,3598,ENSG00000213999,666,,,,,,,
KCNA1,9,6.95825e-12,0.104155297847578,0.2836175469840603,0,ENSG00000111262,667,,,,,,,
VWA5B1,106,4.296e-10,0.1036496295964111,0.2829711833060861,3117,ENSG00000158816,668,,,,,,,
HCG27,776,2.08257e-18,0.1028923007727801,0.2828437743485396,0,ENSG00000206344,669,,,,,,,
JMJD1C,451,2.534e-13,0.1026059400071428,0.2820987159725116,0,ENSG00000171988,670,,,,,,,
CPEB3,110,1.003e-14,0.1025581802259702,0.2817836771698925,0,ENSG00000107864,671,,,,,,,
MAP2K5,444,5.73443e-10,0.1023912737144367,0.2814125062627683,0,ENSG00000137764,672,,,,,,,
KCNK17,60,3.587e-18,0.1010489562868769,0.2809576027920016,0,ENSG00000124780,673,,,,,,,
KCNK16,80,3.587e-18,0.1010489562868769,0.2809576027920016,0,ENSG00000095981,674,,,,,,,
KIF6,180,3.587e-18,0.1010489562868769,0.2809576027920016,7226,ENSG00000164627,675,,,,,,,
SGK223,8,9.94993e-09,0.101535545490534,0.2804543702194895,6271,ENSG00000182319,676,,,,,,,
IER3,7,1.14815e-10,0.1013050380368306,0.2802525170461892,25344,ENSG00000137331,677,,,,,,,
EVI5L,35,4.04576e-10,0.1011137980814457,0.2801987278759218,38306,ENSG00000142459,678,,,,,,,
FBXL13,270,5.1191799999999994e-20,0.0999648286189585,0.2799740029839446,0,ENSG00000161040,679,,,,,,,
RGS17,214,2.19837e-10,0.1008332685989438,0.2799046994954813,0,ENSG00000091844,680,,,,,,,
HLA-DRB1,2279,9.33254e-47,0.096672575693775,0.2791344067488092,0,ENSG00000196126,681,,,,,,,
LETM1,42,3.1e-10,0.1001568471494449,0.2791266196555669,25809,ENSG00000168924,682,,,,,,,
TACC3,60,3.1e-10,0.1001568471494449,0.2791266196555669,34788,ENSG00000013810,683,,,,,,,
FGFR3,42,3.1e-10,0.1001568471494449,0.2791266196555669,7637,ENSG00000068078,684,,,,,,,
CHUK,92,1.232e-09,0.099380423845782,0.2782323499593626,0,ENSG00000213341,685,,,,,,,
ERLIN1,39,1.232e-09,0.099380423845782,0.2782323499593626,0,ENSG00000107566,686,,,,,,,
MBD2,1,3.01787e-08,0.0990371132300098,0.2777268582958687,61711,ENSG00000134046,687,,,,,,,
PRKD1,176,1.80705e-08,0.0985893212310827,0.2772405220272385,0,ENSG00000184304,688,,,,,,,
TLE4,37,3.419e-12,0.0980062724532255,0.2767656917384105,230339,ENSG00000106829,689,,,,,,,
ANKRD11,64,2.04023e-08,0.0976253231003736,0.2761775072135272,0,ENSG00000167522,690,,,,,,,
AC137932.1,4,2.04023e-08,0.0976253231003736,0.2761775072135272,21513,ENSG00000268218,691,,,,,,,
SEC61A2,78,3.46737e-13,0.0969678564377672,0.2759640467606434,33560,ENSG00000065665,692,,,,,,,
NUDT5,80,2.919e-24,0.0969678564377672,0.2759640467606434,7377,ENSG00000165609,693,,,,,,,
SCD5,54,4.587e-10,0.0971730824213055,0.2758282851320333,0,ENSG00000145284,694,,,,,,,
ZNF557,15,1.03851e-08,0.0970754898433342,0.2756127354242538,24286,ENSG00000130544,695,,,,,,,
TAP2,683,4.8194799999999995e-31,0.0960860732665188,0.2752314598943638,0,ENSG00000250264,696,,,,,,,
PSMB9,680,4.8194799999999995e-31,0.0960860732665188,0.2752314598943638,0,ENSG00000240065,697,,,,,,,
TAP1,536,4.8194799999999995e-31,0.0960860732665188,0.2752314598943638,0,ENSG00000168394,698,,,,,,,
HLA-DOB,696,4.8194799999999995e-31,0.0960860732665188,0.2752314598943638,0,ENSG00000241106,699,,,,,,,
PSMB8,635,4.8194799999999995e-31,0.0960860732665188,0.2752314598943638,0,ENSG00000204264,700,,,,,,,
SCXA,2,1.9e-08,0.09664766035238,0.2751179367190187,18043,ENSG00000188686,701,,,,,,,
UBAP2,732,1.36e-09,0.0963971081440408,0.2748786127032509,0,ENSG00000137073,702,,,,,,,
DCAF12,35,3.932e-09,0.0963971081440408,0.2748786127032509,11909,ENSG00000198876,703,,,,,,,
EZH1,51,1.50145e-09,0.0957690331091637,0.2741119382431312,0,ENSG00000108799,704,,,,,,,
COA3,6,1.75768e-09,0.0957690331091637,0.2741119382431312,0,ENSG00000183978,705,,,,,,,
BECN1,54,1.75768e-09,0.0957690331091637,0.2741119382431312,14712,ENSG00000126581,706,,,,,,,
